Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
18-30,Male,Junior high school,1-2yr,Automobile,1-2yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,2-5yr,Public (13?45 seats),1-2yr,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,2-5yr,Automobile,Above 10yr,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,,,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
Under 18,Male,Junior high school,1-2yr,Automobile,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,2-5yr,Stationwagen,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,1-2yr,,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,1-2yr,Other,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Other,Slight Injury
18-30,Male,Junior high school,,Stationwagen,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,,,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,,,Not a Pedestrian,Moving Backward,Slight Injury
Under 18,Male,Junior high school,5-10yr,Public (> 45 seats),Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,,Automobile,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Moving Backward,Slight Injury
Unknown,Male,Junior high school,Below 1yr,Public (12 seats),5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,5,2,,,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,Junior high school,1-2yr,Bajaj,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the left,Slight Injury
Unknown,Male,Junior high school,Below 1yr,Lorry (41?100Q),Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,2-5yr,Lorry (11?40Q),1-2yr,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Junior high school,Below 1yr,Automobile,,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,,Not a Pedestrian,No priority to pedestrian,Slight Injury
Unknown,Female,Junior high school,Above 10yr,Lorry (41?100Q),1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Below 1yr,Automobile,,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Driver,,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Below 1yr,Public (13?45 seats),Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Elementary school,,Bicycle,,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Driver,,Not a Pedestrian,No distancing,Slight Injury
Unknown,Male,Elementary school,,Bicycle,,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,5-10yr,Public (12 seats),2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,2,Driver,,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,5-10yr,Long lorry,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,,Not a Pedestrian,No distancing,Slight Injury
Unknown,Male,,,Public (12 seats),,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,2,Driver,,Not a Pedestrian,Changing lane to the right,Slight Injury
Unknown,Female,High school,Above 10yr,Taxi,,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,3,Driver,,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,5-10yr,,Below 1yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,31-50,3,Employee,,Not a Pedestrian,Changing lane to the right,Serious Injury
Unknown,Female,High school,Above 10yr,Pick up upto 10Q,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,,Not a Pedestrian,Driving carelessly,Slight Injury
Unknown,Female,Junior high school,1-2yr,Automobile,2-5yrs,,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,,Not a Pedestrian,Changing lane to the right,Slight Injury
Unknown,Male,Elementary school,5-10yr,Public (12 seats),,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,No distancing,Slight Injury
Unknown,Male,Junior high school,2-5yr,Other,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Employee,,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,2-5yr,Automobile,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,18-30,3,Driver,,Not a Pedestrian,No priority to vehicle,Slight Injury
Under 18,Male,Elementary school,Above 10yr,Automobile,Above 10yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,31-50,3,Driver,,Not a Pedestrian,Driving to the left,Slight Injury
18-30,Male,Junior high school,2-5yr,Public (12 seats),,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Going straight,Driver or rider,Male,31-50,3,Driver,,Not a Pedestrian,Changing lane to the right,Fatal injury
Unknown,Male,Elementary school,5-10yr,Automobile,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,Junior high school,2-5yr,Automobile,Above 10yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Driver,,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,,,Long lorry,Unknown,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,,Not a Pedestrian,Overtaking,Slight Injury
Over 51,Male,Junior high school,5-10yr,Public (13?45 seats),5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,Junior high school,2-5yr,Lorry (41?100Q),,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,,,Lorry (41?100Q),Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Driver,,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,Driver,,Not a Pedestrian,No distancing,Slight Injury
Under 18,Male,Junior high school,5-10yr,Automobile,,,Office areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,1-2yr,Public (> 45 seats),,,Office areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Elementary school,,,Unknown,No defect,,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,High school,2-5yr,Lorry (41?100Q),1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,5-10yr,,2-5yrs,, Church areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Female,Junior high school,2-5yr,Automobile,,No defect,School areas,other,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Female,Elementary school,2-5yr,Automobile,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,2,Driver,,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Junior high school,1-2yr,Automobile,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Driver,,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,2-5yr,Ridden horse,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,na,na,na,na,Self-employed,,Not a Pedestrian,Other,Slight Injury
18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Female,Elementary school,2-5yr,Automobile,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury
Under 18,Male,Junior high school,1-2yr,Automobile,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,,Not a Pedestrian,Overtaking,Serious Injury
18-30,Male,Junior high school,2-5yr,Automobile,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,NormalNormal,Not a Pedestrian,Changing lane to the right,Slight Injury
